id,title,author,age,annotation,cover_image
saga_o_forsaytah,Сага о Форсайтах,Джон Голсуорси,16+,"«За высокое искусство повествования, вершиной которого является ""Сага о Форсайтах""», классик английской литературы Джон Голсуорси стал лауреатом Нобелевской премии (1932). Его популярнейший цикл романов, воссоздающий историю клана Форсайтов на фоне истории Англии, от викторианской эпохи до 1920-х гг., написан о семье и о жизни во всей ее полноте и сложности. За внешним успехом влиятельных чопорных Форсайтов, представителей верхушки английской буржуазии, сдержанно обсуждающих дивиденды и курсы акций, открывается безумие страсти, семейная вражда, безнадежная любовь и боль одиночества…",/covers/8aeecb08323d4aa2af4c1872414d2559.webp
nad_propastyu_vo_rzhi,Над пропастью во ржи,Дж. Д. Сэлинджер,16+,"Мальчика зовут Холден Колфилд, и живет он в повести «Над пропастью во ржи», до сих пор боготворимой миллионами «непонятых» подростков.

Холден наделен «абсолютным нравственным слухом» — он мгновенно различает фальшь, с него словно содрана кожа, обнажены нервные окончания, его сверхчувствительность — особого рода радар, улавливающий то, мимо чего спокойно проходят другие. Но он не ангел и не «дитя цветов», а трудный подросток во всей красе: со своими переживаниями, волнениями и талантами, но и со всеми тараканами тоже. Но у Холдена есть еще и странная, но очень трогательная мечта...",/covers/627106d31b114f3ea3f27638b0dc50fc.webp
na_zapadnom_fronte_bez_peremen,На Западном фронте без перемен,Эрих Мария Ремарк,16+,"Это рассказ о немецких мальчишках, которые под действием патриотической пропаганды идут на войну, не зная о том, что впереди их ждет не слава героев, а инвалидность и смерть…

Каждый день войны уносит жизни чьих-то отцов, сыновей, а газеты тем временем бесстрастно сообщают: «На Западном фронте без перемен»…

Эта книга – не обвинение, не исповедь. Это попытка рассказать о поколении, которое погубила война, о тех, кто стал ее жертвой, даже если сумел спастись от снарядов и укрыться от пули.",/covers/6bae6035c65444a38ce9596299569a4e.webp
otverzhennye,Отверженные,Виктор Гюго,16+,"Знаменитый роман-эпопея Виктора Гюго о жизни людей, отвергнутых обществом. Среди «отверженных» – Жан Вальжан, осужденный на двадцать лет каторги за то, что украл хлеб для своей голодающей семьи, маленькая Козетта, превратившаяся в очаровательную девушку, жизнерадостный уличный сорванец Гаврош. Противостояние криминального мира Парижа и полиции, споры политических партий и бои на баррикадах, монастырские законы и церковная система – блистательная картина французского общества начала XIX века полностью в одном томе.",/covers/0cf3fb0b3e184918b66a4fea27eb3587.webp
zhizn_vzaymy_ili_u_neba_lyubimchikov_net,"Жизнь взаймы, или У неба любимчиков нет",Эрих Мария Ремарк,16+,"Жизнь взаймы. Жизнь, когда не жаль ничего, потому что терять, в сущности, уже нечего. Это — любовь на грани обреченности. Это — роскошь на грани разорения. Это — веселье на грани горя и риск на грани гибели. Будущего — нет. Смерть — не слово, а реальность. Жизнь продолжается. Жизнь прекрасна!..",/covers/5bdc3cf419fb4cd29e21621e9059d9bf.webp
vremya_zhit_i_vremya_umirat,Время жить и время умирать,Эрих Мария Ремарк,16+,"«А перед нами все цветет, за нами все горит… Не надо думать, с нами тот, кто все за нас решит!»

Но что делать, если не думать ты не можешь? Что делать, если ты не способен стать жалким винтиком в чудовищной военной машине? Позади – ад выжженных стран. Впереди – грязь и кровь Второй мировой. «Времени умирать», кажется, не будет конца. Многие ли доползут до «времени жить»?..",/covers/7c325afd46aa4e0da79ea063b5d1f6af.webp
dzheyn_eyr,Джейн Эйр,Шарлотта Бронте,12+,"Роман известной английской писательницы Шарлотты Бронте – классика женской литературы. В нем есть все, от чего так замирает сердце: первое робкое чувство, обманутые надежды, верные друзья и настоящая любовь. Судьба героини трагична, но, несмотря на множество жизненных трудностей, Джейн находит в себе силы бороться за свое счастье!",/covers/f669b48300684f2aa038eb7d1c6d01dc.webp
malenkiy_prints,Маленький принц,Антуан де Сент-Экзюпери,6+,"В одном из писем к матери Сент-Экзюпери признался: «Мне ненавистны люди, пишущие ради забавы, ищущие эффектов. Надо иметь что сказать». Ему, романтику неба, не чуравшемуся земных радостей, любившему, по свидетельству друзей, «писать, говорить, петь, играть, докапываться до сути вещей, есть, обращать на себя внимание, ухаживать за женщинами», человеку проницательного ума со своими достоинствами и недостатками, но всегда стоявшему на защите общечеловеческих ценностей, было «что сказать». И он написал самую известную во всем мире сказку «Маленький принц» о самом важном в этой жизни, жизни на планете Земля, все чаще такой неласковой, но любимой и единственной.",/covers/59fc9ce9aed440149fdd8a65ee4865ce.jpg
sobor_parizhskoy_bogomateri,Собор Парижской Богоматери,Виктор Гюго,12+,"Великий Гюго построил свой «Собор Парижской Богоматери» из образов и слов, он даровал нам удивительную возможность утолить жажду времени, воплощенную в камне, постичь смысл собственного немого изумления перед лицом застывшего совершенства – на примере живых страстей, движимых противостоянием добра и зла к неизбежному обращению в прах.",/covers/c16a6cf198564551b398baeabc7bc9d1.webp
malenkie_zhenschiny,Маленькие женщины,Луиза Мэй Олкотт,12+,"Трогательная книга, которая читается с улыбкой на лице. Светлая история, которая вселяет надежду. Доброе чтение, которое отвлекает от бед и погружает в атмосферу уюта и тепла.
Сюжет «Маленьких женщин» словно создан для моментов, когда очень хочется, чтобы жизнь наполнилась позитивными эмоциями.
Олкотт писала о девушках и для девушек. На страницах этой книги юные красавицы увидят, как их ровесницы проживают актуальные для них проблемы, а молодые мамы снова окунутся в свое счастливое беззаботное детство, вспомнят свои веселые шалости, свою первую любовь.",/covers/c6aa911511b445f49a90349c6dd289bc.webp
robinzon_kruzo,Робинзон Крузо,Даниэль Дефо,6+,"Корабль терпит крушение, и только один британский моряк спасается на ближайшем необитаемом острове. Он борется за выживание: находит корабельные припасы, строит укрытие, занимается земледелием и приручает диких коз. Крузо не оставляет надежды вновь вернуться в родную Англию, но он и не подозревает, что его пребывание на острове затянется на долгих двадцать семь лет…
""Робинзон Крузо"" сразу после выхода стал настолько популярен, что появился целый поджанр приключенческой литературы, а позже и кинематографа — ""робинзонада"", а главный герой стал символом непоколебимой воли человека и его возможностей в противостоянии с природой.",/covers/5e4368c43bc147d8b0fffe0d37d1a45c.webp
don_kihot,Дон Кихот,Мигель де Сервантес Сааведра,12+,"Начитавшись рыцарских романов и слегка переутомившись от недостаточного пребывания на свежем воздухе, обедневший дворянин на закате жизни решает стать странствующим рыцарем и повторить подвиги своих любимых литературных героев. Раздобыв ржавые доспехи и оседлав хромую клячу, идальго Дон Кихот Ламанчский в сопровождении верного слуги Санчо Пансы отправляется в дорогу. Но реальность отличается от его фантазий, и Рыцарь печального образа, как окрестил его слуга, раз за разом попадает в нелепые ситуации: то бросит вызов стаду баранов, то плененных разбойников освободит, то потерпит поражение в бою с ветряными мельницами.",/covers/3e9a8aa68edd4612b3448f92e900cd47.webp
martin_iden,Мартин Иден,Джек Лондон,12+,"Во многом автобиографическая книга о человеке, который ""сделал себя сам"", выбравшись из самых низов, добился признания. Любовь к девушке из высшего общества побуждает героя заняться самообразованием. Он становится писателем, но все издательства отказывают ему в публикации.
И как это часто бывает в жизни, пройдя сквозь лишения и унижения, получив отказ от любимой девушки, он наконец становится знаменитым. Но ни слава, ни деньги, ни успех, ни даже возвращение его возлюбленной не могут уберечь Мартина от разочарования в этой насквозь фальшивой жизни.",/covers/98ce211518e04d03a8fbc33a6201a23f.webp
